model,dataset,accuracy
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.7989
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.557
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.4723
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5108
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.4562
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.546
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.4618
resnet20v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5928
resnet20v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5568
resnet20v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5625
resnet20v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5708
resnet20v1_original_tuned-once-on_original_ver4,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.543
resnet20v1_original_tuned-once-on_original_ver5,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5472
resnet20v1_original_tuned-once-on_original_ver6,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.6009
resnet20v1_original_tuned-once-on_original_ver7,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5411
resnet20v1_original_tuned-thrice-on_original_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5907
resnet20v1_original_tuned-twice-on_original_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5921
resnet20v1_original_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.4112
resnet20v1_original_ver1,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.4064
resnet20v1_original_ver2,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.3911
resnet20v1_original_ver3,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.3842
resnet20v1_original_ver4,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.4156
resnet20v1_original_ver5,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.4251
resnet20v1_original_ver6,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.4438
resnet20v1_original_ver7,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.387
resnet20v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.6039
resnet20v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.6185
resnet20v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.647
resnet20v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.6155
resnet20v2_original_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.3812
resnet20v2_original_ver1,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.4161
resnet20v2_original_ver2,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.4209
resnet20v2_original_ver3,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.392
resnet56v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.1738
resnet56v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5616
resnet56v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5388
resnet56v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5436
resnet56v1_original_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.0824
resnet56v1_original_ver1,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.3815
resnet56v1_original_ver2,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.3814
resnet56v1_original_ver3,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.3854
resnet56v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.5947
resnet56v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.6154
resnet56v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.6
resnet56v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.6071
resnet56v2_original_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.3541
resnet56v2_original_ver1,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.4306
resnet56v2_original_ver2,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.3559
resnet56v2_original_ver3,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.3898
vgg11_original_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.7123
vgg13_original_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.6258
vgg16_original_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.6301
vgg19_original_ver0,pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_test,0.6303
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.6836
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.6885
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.6832
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.6727
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.8531
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.725
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7585
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7323
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7911
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.8076
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7278
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7541
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7795
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7838
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7181
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.721
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.6983
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.6901
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7799
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.775
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.6567
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.6296
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.6402
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.611
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.6469
ResNet56v1_union-of-original-and-pgd-eps8-iter2-10steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.6157
resnet20v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5111
resnet20v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7045
resnet20v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7045
resnet20v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7016
resnet20v1_original_tuned-once-on_original_ver4,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7025
resnet20v1_original_tuned-once-on_original_ver5,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.709
resnet20v1_original_tuned-once-on_original_ver6,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7146
resnet20v1_original_tuned-once-on_original_ver7,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7029
resnet20v1_original_tuned-thrice-on_original_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5328
resnet20v1_original_tuned-twice-on_original_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5246
resnet20v1_original_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.207
resnet20v1_original_ver1,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5879
resnet20v1_original_ver2,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5768
resnet20v1_original_ver3,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5651
resnet20v1_original_ver4,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5607
resnet20v1_original_ver5,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5863
resnet20v1_original_ver6,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5878
resnet20v1_original_ver7,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5601
resnet20v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7373
resnet20v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7297
resnet20v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7348
resnet20v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7233
resnet20v2_original_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5054
resnet20v2_original_ver1,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5232
resnet20v2_original_ver2,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.523
resnet20v2_original_ver3,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5167
resnet56v1_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7113
resnet56v1_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7075
resnet56v1_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.6945
resnet56v1_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7095
resnet56v1_original_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5934
resnet56v1_original_ver1,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5526
resnet56v1_original_ver2,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5878
resnet56v1_original_ver3,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5662
resnet56v2_original_tuned-once-on_original_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7436
resnet56v2_original_tuned-once-on_original_ver1,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7227
resnet56v2_original_tuned-once-on_original_ver2,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7481
resnet56v2_original_tuned-once-on_original_ver3,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7166
resnet56v2_original_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.4986
resnet56v2_original_ver1,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5532
resnet56v2_original_ver2,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.4742
resnet56v2_original_ver3,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.5146
vgg11_original_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7283
vgg13_original_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.6998
vgg16_original_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7065
vgg19_original_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v1-ver0_test,0.7008
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.7129
ResNet56v1_union-of-original-and-cwl2-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.7084
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.7192
ResNet56v1_union-of-original-and-deepfool-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.6931
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.8529
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.7057
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.7425
ResNet56v1_union-of-original-and-fgm-eps216-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.7156
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.7931
ResNet56v1_union-of-original-and-fgm-eps216-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.8029
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.7343
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-2nd-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.7463
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.7886
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.7815
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.7109
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-targeted-to-least-by-vgg16-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.7175
ResNet56v1_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_tuned-once-on_union-of-original-and-pgd-eps216-iter96-8steps-untargeted-by-resnet56v1-ver0_ver0,pgd-eps216-iter96-8steps-targeted-to-least-by-resnet20v2-ver0_test,0.6978
